Release Date,Pre-NRI Deadline,Production Check-in,NRI Deadline,NRI Upload & International Solicitation,SD Product Due,NOTES,2021 Digital Release Week,SD Digital Product Pitching Deadline
01/08/21,08/14/20,09/18/20,10/02/20,11/11/20,11/30/20,,1/04/2021 - 1/08/2021,12/16/20
01/15/21,08/14/20,09/25/20,10/02/20,11/18/20,12/07/20,,1/11/2021 - 1/15/2021,12/23/20
01/22/21,08/28/20,10/02/20,10/16/20,11/25/20,12/14/20,,1/18/2021 - 1/22/2021,12/30/20
01/29/21,08/28/20,10/02/20,10/16/20,12/02/20,12/14/20,*1/29 Product due date expedited due to holidays // Associated deadlines moved up to accommodate that,1/25/2021 - 1/29/2021,01/06/21
02/05/21,09/11/20,10/16/20,10/30/20,12/09/20,12/28/20,,2/01/2021 - 2/05/2021,01/13/21
02/12/21,09/11/20,10/23/20,10/30/20,12/16/20,01/04/21,,2/08/2021 - 2/12/2021,01/20/21
02/19/21,09/25/20,10/30/20,11/13/20,12/23/20,01/11/21,*2/19 NRI Upload may be expedited due to holidays (SD will reach out if that happens),2/15/2021 - 2/19/2021,01/27/21
02/26/21,09/25/20,11/06/20,11/13/20,01/04/21,01/19/21,*2/26 NRI Upload & Product Due dates pushed back due to holidays,2/22/2021 - 2/26/2021,02/03/21
03/05/21,10/09/20,11/13/20,11/27/20,01/06/21,01/25/21,,3/01/2021 - 3/05/2021,02/10/21
03/12/21,10/09/20,11/20/20,11/27/20,01/13/21,02/01/21,,3/08/2021 - 3/12/2021,02/17/21
03/19/21,10/23/20,11/27/20,12/11/20,01/20/21,02/08/21,,3/15/2021 - 3/19/2021,02/24/21
03/26/21,10/23/20,12/04/20,12/11/20,01/27/21,02/15/21,,3/22/2021 - 3/26/2021,03/03/21
04/02/21,11/06/20,12/11/20,12/23/20,02/03/21,02/22/21,*4/02 and 4/09 NRI deadline pushed up due to holidays,3/29/2021 - 4/02/2021,03/10/21
04/09/21,11/06/20,12/18/20,12/23/20,02/10/21,03/01/21,,4/05/2021 - 4/09/2021,03/17/21
04/16/21,11/20/20,12/28/20,01/08/21,02/17/21,03/08/21,*4/16 production check-in pushed back due to holiday,4/12/2021 - 4/16/2021,03/24/21
04/23/21,11/20/20,01/04/21,01/08/21,02/24/21,03/15/21,*4/23 production check-in pushed back due to holiday,4/19/2021 - 4/23/2021,03/31/21
04/30/21,12/04/20,01/08/21,01/22/21,03/03/21,03/22/21,,4/26/2021 - 4/30/2021,04/07/21
05/07/21,12/04/20,01/15/21,01/22/21,03/10/21,03/29/21,,5/03/2021 - 5/07/2021,04/14/21
05/14/21,12/18/20,01/22/21,02/05/21,03/17/21,04/05/21,,5/10/2021 - 5/14/2021,04/21/21
05/21/21,12/18/20,01/29/21,02/05/21,03/24/21,04/12/21,,5/17/2021 - 5/21/2021,04/28/21
05/28/21,01/04/21,02/05/21,02/19/21,03/31/21,04/19/21,*5/28 and 6/04 Pre-NRI deadline pushed back due to holidays,5/24/2021 - 5/28/2021,05/05/21
06/04/21,01/04/21,02/12/21,02/19/21,04/07/21,04/26/21,,5/31/2021 - 6/04/2021,05/12/21
06/12/21,09/25/20,11/25/20,12/04/20,TBA,04/19/21,*RSD moved from 4/17 to 6/12 on 12/09 / Product date changed from March 1 to April 19,6/07/2021 - 6/11/2021,05/19/21
06/11/21,01/15/21,02/19/21,03/05/21,04/14/21,05/03/21,,6/14/2021 - 6/18/2021,05/26/21
06/18/21,01/15/21,02/26/21,03/05/21,04/21/21,05/10/21,,6/21/2021 - 6/25/2021,06/02/21
06/25/21,01/29/21,03/05/21,03/19/21,04/28/21,05/17/21,,6/28/2021 - 7/02/2021,06/09/21
07/02/21,01/29/21,03/12/21,03/19/21,05/05/21,05/24/21,,7/05/2021 - 7/09/2021,06/16/21
07/09/21,02/12/21,03/19/21,04/02/21,05/12/21,05/31/21,,7/12/2021 - 7/16/2021,06/23/21
07/16/21,02/12/21,03/26/21,04/02/21,05/19/21,06/07/21,,7/19/2021 - 7/23/2021,06/30/21
07/23/21,02/26/21,04/02/21,04/16/21,05/26/21,06/14/21,,7/26/2021 - 7/30/2021,07/07/21
07/30/21,02/26/21,04/09/21,04/16/21,06/02/21,06/21/21,,8/02/2021 - 8/06/2021,07/14/21
08/06/21,03/12/21,04/16/21,04/30/21,06/09/21,06/28/21,,8/09/2021 - 8/13/2021,07/21/21
08/13/21,03/12/21,04/23/21,04/30/21,06/16/21,07/05/21,,8/16/2021 - 8/20/2021,07/28/21
08/20/21,03/26/21,04/30/21,05/14/21,06/23/21,07/12/21,,8/23/2021 - 8/27/2021,08/04/21
08/27/21,03/26/21,05/07/21,05/14/21,06/30/21,07/19/21,,8/30/2021 - 9/03/2021,08/11/21
09/03/21,04/09/21,05/14/21,05/28/21,07/07/21,07/26/21,,9/06/2021 - 9/10/2021,08/18/21
09/10/21,04/09/21,05/21/21,05/28/21,07/14/21,08/02/21,,9/13/2021 - 9/17/2021,08/25/21
09/17/21,04/23/21,05/28/21,06/11/21,07/21/21,08/09/21,,9/20/2021 - 9/24/2021,09/01/21
09/24/21,04/23/21,06/04/21,06/11/21,07/28/21,08/16/21,,9/27/2021 - 10/01/2021,09/08/21
10/01/21,05/07/21,06/11/21,06/25/21,08/04/21,08/23/21,,10/04/2021 - 10/08/2021,09/15/21
10/08/21,05/07/21,06/18/21,06/25/21,08/11/21,08/30/21,,10/11/2021 - 10/15/2021,09/22/21
10/15/21,05/21/21,06/25/21,07/09/21,08/18/21,09/06/21,,10/18/2021 - 10/22/2021,09/29/21
10/22/21,05/21/21,07/02/21,07/09/21,08/25/21,09/13/21,,10/25/2021 - 10/29/2021,10/06/21
10/29/21,06/04/21,07/09/21,07/23/21,09/01/21,09/20/21,,11/01/2021 - 11/05/2021,10/13/21
11/05/21,06/04/21,07/16/21,07/23/21,09/08/21,09/27/21,,11/08/2021 - 11/12/2021,10/20/21
11/12/21,06/18/21,07/23/21,08/06/21,09/15/21,10/04/21,,11/15/2021 - 11/19/2021,10/27/21
11/19/21,06/18/21,07/30/21,08/06/21,09/22/21,10/11/21,,11/22/2021 - 11/26/2021,11/03/21
11/26/21,07/02/21,08/06/21,08/20/21,09/29/21,10/18/21,,12/06/2021 - 12/10/2021,11/17/21
12/03/21,07/02/21,08/13/21,08/20/21,10/06/21,10/25/21,,12/13/2021 - 12/17/2021,11/24/21
12/10/21,07/16/21,08/20/21,09/03/21,10/13/21,11/01/21,,12/20/2021 - 12/24/2021,12/01/21
,,,,,,,12/27/2021 - 12/31/2021,12/08/21
